LR,CART,NB,KNN,RF
0.745216049382716,0.6680555555555556,0.6968749999999999,0.6986882716049383,0.7298611111111111
0.7265432098765432,0.6833333333333333,0.7017746913580247,0.6894675925925926,0.71875
0.7562500000000001,0.665625,0.6944444444444444,0.6615740740740741,0.6832561728395061
0.7530864197530864,0.6895833333333333,0.73125,0.7019290123456791,0.6895061728395061
0.7639660493827161,0.6574074074074074,0.7437499999999999,0.7204861111111112,0.6645061728395062
0.788966049382716,0.6863425925925926,0.695679012345679,0.7469135802469136,0.7067901234567902
0.7826388888888889,0.6708333333333334,0.709375,0.7141589506172838,0.6843750000000001
0.753125,0.6584104938271604,0.73125,0.76875,0.7300925925925925
0.7484567901234568,0.707716049382716,0.6925925925925926,0.7298225308641976,0.7264274691358025
0.7530864197530864,0.6862654320987654,0.7205246913580248,0.7701774691358025,0.6988425925925925
